client_id,path,sentence
cc9a8f7a93105d8cad27be31dea7751420f19ff17575ae9064b03ea5a0e8153e8989ecfbf9420dd74e459a941b84264e10aff551abe81b69a6ae07a39b2ba693,common_voice_en_124764.mp3,Never mind about that.
9f0ae813801cf88f99ba04a5fad39a9be3e042c1f9950cee1c86f30fb15fee2911d67a5badf3e7819cb31fcd0461b183702acb94423687c9034021501667b362,common_voice_en_17273358.mp3,"No, you cannot have that lollipop."
06234599bf26d559d3cf6bd27c0e5f8bd12ab8d1bc1d419453bd062b82b7513c3158a87b99b44a8b1c260c60e10c306970b656c6026a9728f1a4c6369d4d382e,common_voice_en_17274203.mp3,Now where could my pipe be?
1fa90b3f7281c25934c33ac68f96b4a385b2dce726026e11d86461bc8ab23f9d381e98f44068d1c5e81820560a062351680ca448e3088bf8edf64b4dc7554ac0,common_voice_en_147991.mp3,The article would benefit from examples demonstrating the dataset weighting.
b36269024102cc1c191042f7fed60ecfcbbd0566ef24eddede7e2ad5d5f30fd1059752cc1fc0298fc3776fd9830834b93235a34e7d7c8c53f1c04c79ed226687,common_voice_en_131823.mp3,Leave no stone unturned.
cc9a8f7a93105d8cad27be31dea7751420f19ff17575ae9064b03ea5a0e8153e8989ecfbf9420dd74e459a941b84264e10aff551abe81b69a6ae07a39b2ba693,common_voice_en_124763.mp3,Playing the market with the company's money?
bfed066770961fc513fe9c2bbabd471752ff414dd6a49ef53f99f1cc156ee70d14d6fad8b1c7aa3b0821816398a1874a857d937c78277b4a2bd82cf90a535397,common_voice_en_159180.mp3,He didn't need to demonstrate his science and art to anyone.
39898618b4f5c1a7b37e720419873b9886cc50fffe4120c4890d46e7a9a39f4524919aaf794bab3ee21203d87e32b787e5c4f5a99cf6bac1a3f820eb0d555078,common_voice_en_17843148.mp3,Grumbling makes the loaf no larger.
ad327d5f276ed23578f0dfae1f8a6df52d75b8cc89cbaf8c5a366fb4e96287ca2a3c48b55693c3a7e6a595de274c57a4c7bcc2f176251be68385a18984c826ed,common_voice_en_150924.mp3,The Italian got her words mixed up.
36c03c27f22a64fdd839e2884ea7349079b65701593067fc749c0644e6f2344f8253e95aa02d386ba1d6e4124cf3be3cc668446e75e8d6a0a1fd982041c0d2a0,common_voice_en_153527.mp3,party of six this week in Oman
0e2666d75d0588db905a8d9194182edfe7fc678923695d98af0fe23d9bf04ebfdd5d8476399e1b2e6e99cef34711188decfbd34386c8b999e5ed915e08a05412,common_voice_en_13188.mp3,You're a big help.
12756a16a60f03be46ecd34c84ae5260fb1072d5d041eba39aee2a7ad86bbb450b71beea98e0d856c96faa543bcae406aee3663588e97cf1cfd05d1af7dce053,common_voice_en_17298294.mp3,Where are the others?
49cd2ede30930226c9d200cb38c605070ae996262cb0a33c00ee75fdf71e49010cd42488ddef9c1f382be881ccf2517e5623de7eb2071678839d93d47bf28f83,common_voice_en_170171.mp3,It's doubled our circulation.
